pl_bmasse,hostname,st_teff,st_metratio,st_spectype,st_mass,st_logg,0
3.78,TOI-1685,3434.0,[Fe/H],M3.0 V,0.49,4.85,2
3.81,HD 40307,4977.0,[Fe/H],K3 V,0.77,4.47,1
3.81396,HD 219134,4913.0,[Fe/H],K3 V,0.79,4.51,1
3.86,TOI-178,4316.0,[Fe/H],K,0.65,4.45,2
3.94,TOI-178,4316.0,[Fe/H],K,0.65,4.45,2
3.95,CD Cet,3130.0,[Fe/H],M5.0 V,0.16,4.93,1
4.0,GJ 251,3451.0,[Fe/H],M3.0 V,0.36,4.96,1
4.0,HD 39194,5205.0,[Fe/H],K0 V,0.67,4.53,2
4.0,HD 40307,4956.0,[Fe/H],K2.5 V,0.77,4.47,1
4.0,Kepler-62,4925.0,[Fe/H],K2 V,0.69,4.68,1
4.0,TOI-776,3709.0,[Fe/H],M1 V,0.54,4.73,2
4.04,HD 137496,5799.0,[Fe/H],G,1.04,4.05,1
4.13,Kepler-80,4540.0,[Fe/H],K5,0.73,4.64,1
4.2,GJ 887,3688.0,[Fe/H],M1 V,0.49,4.78,1
4.2,HD 93385,5977.0,[Fe/H],G2/G3 V,1.04,4.42,1
4.33612,HD 219134,4699.0,[Fe/H],K3 V,0.78,4.63,1
4.55,HD 110113,5732.0,[Fe/H],G,1.0,4.46,2
4.6,L 168-9,3800.0,[Fe/H],M1 V,0.62,4.04,2
4.77,TOI-178,4316.0,[Fe/H],K,0.65,4.45,2
4.78,TOI-270,3506.0,[Fe/H],M,0.39,4.87,2
4.8,HD 20794,5401.0,[Fe/H],G8 V,0.7,4.22,1
4.81,HD 136352,5664.0,[Fe/H],G4 V,0.81,4.39,1
4.82,HD 39091,6037.0,[Fe/H],G0 V,1.09,4.42,2
5.0,Kepler-1655,6148.0,[Fe/H],G0 V,1.03,4.36,1
5.02,HD 3167,5261.0,[Fe/H],K0 V,0.86,4.47,1
5.03,TOI-500,4440.0,[Fe/H],K6 V,0.74,4.62,1
5.1,61 Vir,5577.0,[Fe/H],G5 V,0.94,4.34,1
5.2,GJ 514,3728.0,[Fe/H],M0.5-1.0 V,0.51,4.76,1
5.2,GJ 9827,4269.0,[m/H],K5 V,0.61,4.65,1
5.2,HD 40307,4956.0,[Fe/H],K2.5 V,0.77,4.47,1
5.29,K2-111,5775.0,[Fe/H],G2,0.84,4.25,1
5.3,TOI-1246,5151.0,[Fe/H],K V,0.87,4.4,2
5.3,TOI-776,3709.0,[Fe/H],M1 V,0.54,4.73,2
5.31,K2-141,4373.0,[Fe/H],K7 V,0.66,4.58,1
5.36,GJ 536,3685.0,[Fe/H],M1 V,0.52,4.75,1
5.4,TOI-561,5455.0,[Fe/H],G9 V,0.79,4.47,2
5.59,HD 1461,5765.0,[Fe/H],G0 V,1.02,4.38,1
5.6,K2-146,3385.0,[Fe/H],M3.0 V,0.36,4.91,1
5.7,CoRoT-24,4950.0,[Fe/H],K1 V,0.91,4.55,1
5.74,HD 176986,4931.0,[Fe/H],K2.5 V,0.79,4.44,1
5.8,EPIC 220674823,5470.0,[Fe/H],G5 V,0.94,4.53,1
5.8,HD 191939,5348.0,[Fe/H],G9 V,0.81,4.3,2
5.9,TOI-1235,3997.0,[Fe/H],M0.5 V,0.63,4.64,2
6.1,GJ 357,3505.0,[Fe/H],M2.5 V,0.34,4.94,1
6.15,TOI-270,3506.0,[Fe/H],M,0.39,4.87,2
6.26,GJ 3998,3722.0,[Fe/H],M1,0.5,4.77,1
6.3,HD 39194,5205.0,[Fe/H],K0 V,0.67,4.53,1
6.4,TOI-1266,3573.0,[Fe/H],M2 V,0.44,4.83,1
6.43,HD 40307,4977.0,[Fe/H],K3 V,0.77,4.47,1
6.44,HD 1461,5765.0,[Fe/H],G0 V,1.02,4.38,1
6.44,HD 7924,5075.0,[Fe/H],K0.5 V,0.83,4.59,1
6.48,K2-3,3896.0,[Fe/H],M0.0&plusmn;0.5,0.6,4.73,1
6.5,K2-285,4975.0,[Fe/H],K2 V,0.83,4.4,1
6.6,HD 154088,5374.0,[Fe/H],K0 IV-V,0.91,4.37,1
6.6,HD 215497,5113.0,[Fe/H],K3 V,0.87,4.31,1
6.6,HD 40307,4956.0,[Fe/H],K2.5 V,0.77,4.47,1
6.63,TOI-125,5320.0,[Fe/H],K0 V,0.86,4.52,2
6.64,Gl 686,3654.0,[Fe/H],M1.0 V,0.43,4.88,1
6.74,Kepler-80,4540.0,[Fe/H],K5,0.73,4.64,1
6.75,Kepler-80,4540.0,[Fe/H],K5,0.73,4.64,1
6.89,HD 238090,3933.0,[Fe/H],M0.0 V,0.58,4.7,1
6.9,HD 3167,5261.0,[Fe/H],K0 V,0.86,4.47,1
6.93,Kepler-80,4540.0,[Fe/H],K5,0.73,4.64,1
7.0,HD 189567,5726.0,[Fe/H],G3 V,0.83,4.41,1
7.1,Gl 686,3663.0,[Fe/H],M1,0.42,4.83,1
7.1,HD 93385,5977.0,[Fe/H],G2/G3 V,1.04,4.42,1
7.1,K2-146,3385.0,[Fe/H],M3.0 V,0.36,4.91,1
7.14,GJ 3942,3867.0,[Fe/H],M0,0.63,4.65,1
7.2,HD 191939,5348.0,[Fe/H],G9 V,0.81,4.3,2
7.25,HD 86226,5863.0,[Fe/H],G1 V,1.02,4.4,2
7.4,GJ 1265,3236.0,[Fe/H],M4.5 V,0.18,5.09,1
7.5,HD 181433,4962.0,[Fe/H],K3 IV,0.78,4.37,1
7.51,HD 15337,5125.0,[Fe/H],K1 V,0.9,4.53,2
7.55,HD 97658,5170.0,[Fe/H],K1,0.77,4.58,1
7.6,GJ 887,3688.0,[Fe/H],M1 V,0.49,4.78,1
7.72,TOI-178,4316.0,[Fe/H],K,0.65,4.45,1
7.8,HD 5278,6203.0,[Fe/H],F V,1.13,4.5,2
7.86,HD 7924,5075.0,[Fe/H],K0.5 V,0.83,4.59,1
8.0,GJ 3779,3324.0,[Fe/H],M4.0 V,0.27,5.05,1
8.0,K2-216,4503.0,[Fe/H],K5 V,0.7,4.57,1
8.1,TOI-1246,5151.0,[Fe/H],K V,0.87,4.4,2
8.11,HD 15337,5125.0,[Fe/H],K1 V,0.9,4.53,2
8.17,GJ 1214,3250.0,[Fe/H],M4 V,0.18,5.03,1
8.23,HD 21693,5430.0,[Fe/H],G8 V,0.8,4.37,1
8.3,HD 97658,5212.0,[Fe/H],K1 V,0.85,4.64,1
8.36,EPIC 220674823,5470.0,[Fe/H],G5 V,0.94,4.53,1
8.5,BD-06 1339,4324.0,[Fe/H],K7/M0 V,0.7,4.74,1
8.5,HD 189567,5726.0,[Fe/H],G3 V,0.83,4.41,1
8.58,HD 136352,5664.0,[Fe/H],G4 V,0.81,4.39,1
8.6,TOI-1260,4227.0,[Fe/H],K6 V,0.66,4.57,2
8.68,HD 7924,5075.0,[Fe/H],K0.5 V,0.83,4.59,1
8.7,HD 93385,5977.0,[Fe/H],G2/G3 V,1.04,4.42,1
8.7,LHS 1815,3643.0,[Fe/H],M1,0.5,4.77,2
8.74,HD 40307,4977.0,[Fe/H],K3 V,0.77,4.47,1
8.75,EPIC 249893012,5430.0,[Fe/H],G8 IV/V,1.05,3.99,1
8.8,TOI-1246,5151.0,[Fe/H],K V,0.87,4.4,2
8.8,TOI-269,3514.0,[Fe/H],M2 V,0.39,4.83,2
8.81,HD 45184,5869.0,[Fe/H],G1.5 V,1.03,4.47,1
8.83,HD 213885,5978.0,[Fe/H],G,1.07,4.38,2
8.9,HD 96700,5845.0,[Fe/H],G0 V,0.89,4.39,1
8.94,HD 219134,4699.0,[Fe/H],K3 V,0.78,4.63,1
8.98,HD 175607,5392.0,[Fe/H],G6 V,0.71,4.64,1
9.0,GJ 685,3816.0,[Fe/H],M0.5,0.55,4.72,1
9.0,Kepler-62,4925.0,[Fe/H],K2 V,0.69,4.68,1
9.18,HD 176986,4931.0,[Fe/H],K2.5 V,0.79,4.44,1
9.26,HD 7924,5177.0,[Fe/H],K0 V,0.83,4.59,1
9.32,TOI-763,5450.0,[Fe/H],G,0.92,4.45,2
9.5,HD 40307,4956.0,[Fe/H],K2.5 V,0.77,4.47,1
9.5,TOI-125,5320.0,[Fe/H],K0 V,0.86,4.52,2
9.65,GJ 9689,3836.0,[Fe/H],M0.5,0.59,4.69,1
9.68,K2-285,4975.0,[Fe/H],K2 V,0.83,4.4,1
9.7,HD 73583,4511.0,[Fe/H],K4 V,0.73,4.62,2
9.78,TOI-1062,5328.0,[Fe/H],G9 V,0.94,4.55,2
9.79,TOI-763,5450.0,[Fe/H],G,0.92,4.45,2
9.8,HD 3167,5261.0,[Fe/H],K0 V,0.86,4.47,1
9.9,HIP 97166,5198.0,[Fe/H],K0 V,0.9,4.41,1
9.9,K2-38,5757.0,[Fe/H],G2 V,1.07,4.35,1
10.1,HD 134060,5966.0,[Fe/H],G3 IV,1.09,4.43,1
10.15,TOI-1062,5328.0,[Fe/H],G9 V,0.94,4.55,2
10.18,EPIC 249893012,5430.0,[Fe/H],G8 IV/V,1.05,3.99,1
10.2,HD 73583,4511.0,[Fe/H],K4 V,0.73,4.62,2
10.4,HD 191939,5348.0,[Fe/H],G9 V,0.81,4.3,2
10.47,HD 31527,5898.0,[Fe/H],G2 V,0.96,4.45,1
10.5,HD 110113,5732.0,[Fe/H],G,1.0,4.46,1
10.7,K2-285,4975.0,[Fe/H],K2 V,0.83,4.4,1
10.8,HD 136352,5664.0,[Fe/H],G4 V,0.81,4.39,1
10.8,TOI-1759,4065.0,[Fe/H],M0.0 V,0.61,4.65,2
10.80622,HD 219134,4913.0,[Fe/H],K3 V,0.79,4.51,1
11.2,HD 183579,5706.0,[Fe/H],G2 V,1.03,4.47,1
11.3,K2-111,5775.0,[Fe/H],G2,0.84,4.25,1
11.44182,K2-180,5110.0,[Fe/H],K2 V,0.71,4.3,1
11.56,HD 152843,6310.0,[Fe/H],G0,1.15,4.19,2
11.6,HIP 57274,4640.0,[Fe/H],K4 V,0.73,4.71,1
11.66,HD 20003,5494.0,[Fe/H],G8 V,0.88,4.41,1
11.75,HD 10180,5911.0,[Fe/H],G1 V,1.06,4.39,1
11.8,TOI-1260,4227.0,[Fe/H],K6 V,0.66,4.57,2
11.82,HD 31527,5898.0,[Fe/H],G2 V,0.96,4.45,1
12.0,K2-38,5757.0,[Fe/H],G2 V,1.07,4.35,1
12.19,HD 45184,5869.0,[Fe/H],G1.5 V,1.03,4.47,1
12.2,CoRoT-22,5939.0,[Fe/H],G3 V,1.1,4.36,1
12.58,GJ 3470,3652.0,[Fe/H],M1.5,0.51,4.66,1
12.6,HD 106315,6327.0,[Fe/H],F5 V,1.09,4.25,1
12.7,HD 96700,5845.0,[Fe/H],G0 V,0.89,4.39,1
12.77,HD 51608,5358.0,[Fe/H],G7 V,0.8,4.36,1
12.9,HD 164922,5293.0,[Fe/H],G9 V,0.87,4.39,1
13.1,HD 10180,5911.0,[Fe/H],G1 V,1.06,4.39,1
13.134,HD 125595,4908.0,[Fe/H],K4 V,0.76,4.32,1
13.3,LSPM J2116+0234,3475.0,[Fe/H],M3.0 V,0.43,4.95,1
13.5,TOI-1266,3600.0,[Fe/H],M3,0.45,4.85,2
13.6,TOI-125,5320.0,[Fe/H],K0 V,0.86,4.52,2
13.8,TOI-220,5298.0,[Fe/H],K0 V,0.82,4.37,2
14.0,Kepler-62,4925.0,[Fe/H],K2 V,0.69,4.68,1
14.0,TOI-1749,3985.0,[Fe/H],M0 V,0.58,4.7,2
14.16,HD 31527,5898.0,[Fe/H],G2 V,0.96,4.45,1
14.31,HD 51608,5358.0,[Fe/H],G7 V,0.8,4.36,1
14.4,BD-08 2823,4746.0,[Fe/H],K3 V,0.74,4.13,1
14.4,HD 207897,5070.0,[Fe/H],K0 V,0.8,4.56,2
14.4,HD 42618,5727.0,[Fe/H],G4 V,1.01,4.44,1
14.44,HD 20003,5494.0,[Fe/H],G8 V,0.88,4.41,1
14.67,EPIC 249893012,5430.0,[Fe/H],G8 IV/V,1.05,3.99,1
14.8,K2-263,5368.0,[m/H],G9 V,0.88,4.51,1
14.8,TOI-1246,5151.0,[Fe/H],K V,0.87,4.4,2
15.0,TOI-1749,3985.0,[Fe/H],M0 V,0.58,4.7,2
15.05,TOI-500,4440.0,[Fe/H],K6 V,0.74,4.62,1
15.2,HD 106315,6327.0,[Fe/H],F5 V,1.09,4.25,1
15.4,TOI-1231,3553.0,[Fe/H],M3 V,0.48,4.77,2
15.68,K2-285,4975.0,[Fe/H],K2 V,0.83,4.4,1
15.9,TOI-1266,3573.0,[Fe/H],M2 V,0.44,4.83,1
16.3,BD+20 594,5766.0,[Fe/H],G,0.96,4.5,1
16.57,GJ 4276,3387.0,[Fe/H],M4.0,0.41,4.97,1
16.7,K2-110,5010.0,[Fe/H],K3 V,0.74,4.6,1
16.8,HD 34445,5836.0,[Fe/H],G0 V,1.07,4.21,1
17.162,HD 109271,5783.0,[Fe/H],G5 V,1.05,4.28,1
17.37,HD 21693,5430.0,[Fe/H],G8 V,0.8,4.37,1
17.6,HD 204313,5776.0,[Fe/H],G5 V,1.02,4.38,1
18.2,61 Vir,5577.0,[Fe/H],G5 V,0.94,4.34,1
18.4,HD 5278,6203.0,[Fe/H],F V,1.13,4.5,1
18.467,TOI-824,4600.0,[Fe/H],K4 V,0.71,4.61,2
18.751,HAT-P-26,5079.0,[Fe/H],K1,0.82,4.56,1
19.8,HD 219828,5891.0,[Fe/H],G0 IV,1.24,4.18,1
19.95,HD 213885,5978.0,[Fe/H],G,1.07,4.38,1
20.0,HIP 97166,5198.0,[Fe/H],K0 V,0.9,4.41,2
21.0,CoRoT-7,5275.0,[M/H],G9 V,0.93,4.5,1
21.0,HD 219828,5891.0,[Fe/H],G0 IV,1.23,4.08,1
21.0,K2-24,5743.0,[Fe/H],G3,1.12,4.29,1
21.29461,HD 219134,4913.0,[Fe/H],K3 V,0.79,4.51,1
21.4,HD 10180,5911.0,[Fe/H],G1 V,1.06,4.39,1
21.8,K2-100,5945.0,[Fe/H],G0 V,1.15,4.33,1
22.4,TOI-132,5397.0,[Fe/H],G8 V,0.97,4.48,2
22.7,GJ 143,4640.0,[Fe/H],K4.5,0.73,4.61,2
22.9,61 Vir,5577.0,[Fe/H],G5 V,0.94,4.34,1
23.6,TOI-674,3514.0,[Fe/H],M2 V,0.42,4.81,2
23.9,HD 10180,5911.0,[Fe/H],G1 V,1.06,4.39,1
24.154,HD 109271,5783.0,[Fe/H],G5 V,1.05,4.28,1
24.5,K2-25,3207.0,[Fe/H],M4.5 V,0.26,4.94,1
24.5,K2-292,5725.0,[Fe/H],G3 V,1.0,4.33,1
25.0,rho CrB,5627.0,[Fe/H],G0 V,0.89,4.12,1
25.1,HD 10180,5911.0,[Fe/H],G1 V,1.06,4.39,1
26.78,TOI-1728,3980.0,[Fe/H],M0,0.65,4.66,2
27.0,EPIC 211945201,6025.0,[Fe/H],G0,1.18,4.25,1
27.0,K2-24,5743.0,[Fe/H],G3,1.12,4.29,1
27.5,HD 152843,6310.0,[Fe/H],G0,1.15,4.19,2
27.5,HD 179079,5684.0,[Fe/H],G5 IV,1.15,4.06,1
28.0,CoRoT-24,4950.0,[Fe/H],K1 V,0.91,4.55,1
28.3,TOI-1710,5665.0,[Fe/H],G5 V,0.98,4.46,2
29.29,HD 134060,5966.0,[Fe/H],G3 IV,1.09,4.43,1
29.32,LTT 9779,5443.0,[Fe/H],G7 V,0.77,4.35,2
29.875,Kepler-117,6150.0,[Fe/H],F8 V,1.13,4.1,1
30.7,HD 34445,5836.0,[Fe/H],G0 V,1.07,4.21,1
30.8,LP 714-47,3950.0,[Fe/H],M0.0 V,0.59,4.64,2
32.10083,WASP-166,6050.0,[Fe/H],F9 V,1.19,4.34,1
32.2,K2-98,6120.0,[Fe/H],F8 V,1.07,4.23,1
33.12,TOI-500,4440.0,[Fe/H],K6 V,0.74,4.62,1
35.0,Kepler-62,4925.0,[Fe/H],K2 V,0.69,4.68,1
36.0,Kepler-22,5518.0,[Fe/H],G5 V,0.97,4.44,1
36.0,Kepler-62,4925.0,[Fe/H],K2 V,0.69,4.68,1
37.9,HD 34445,5836.0,[Fe/H],G0 V,1.07,4.21,1
38.1396,HATS-7,4985.0,[Fe/H],K2,0.85,4.54,1
38.1396,WASP-107,4430.0,[Fe/H],K6,0.69,4.5,1
39.09,TOI-849,5373.8,[Fe/H],G,0.93,4.48,2
40.68224,WASP-156,4910.0,[Fe/H],K3,0.84,4.6,1
41.31769,TOI-1670,6170.0,[Fe/H],F7 V,1.21,4.29,2
42.44,HD 95338,5212.0,[Fe/H],K0.5 V,0.83,4.54,1
44.4962,HD 102117,5672.0,[Fe/H],G6 V,1.03,4.27,1
47.03884,WASP-182,5638.0,[Fe/H],G5,1.08,4.22,1
47.6745,CoRoTID 223977153,5970.0,[Fe/H],G0 VI,1.08,4.67,1
51.1,Kepler-101,5667.0,[Fe/H],G3 IV,1.17,4.12,1
53.0,BD-06 1339,4324.0,[Fe/H],K7/M0 V,0.7,4.74,1
53.5,HD 34445,5836.0,[Fe/H],G0 V,1.07,4.21,1
57.0,TOI-1749,3985.0,[Fe/H],M0 V,0.58,4.7,2
58.985,HD 104067,4969.0,[Fe/H],K2 V,0.79,4.47,1
59.4953,HD 45364,5434.0,[Fe/H],K0 V,0.82,4.38,1
62.61,HAT-P-18,4803.0,[Fe/H],K2,0.77,4.57,1
64.4,HD 10180,5911.0,[Fe/H],G1 V,1.06,4.39,1
66.10864,NGTS-12,5690.0,[Fe/H],G,1.02,4.04,1
66.74397,GJ 9066,3154.0,[Fe/H],M5.0 V,0.15,5.01,1
67.059,HAT-P-12,4650.0,[Fe/H],K4,0.73,4.61,1
69.92,CoRoT-8,5080.0,[M/H],K1 V,0.88,4.58,1
70.87609,K2-261,5537.0,[Fe/H],G7 IV/V,1.1,4.21,1
71.0,HD 219134,4699.0,[Fe/H],K3 V,0.78,4.63,1
72.78307,NGTS-5,4987.0,[Fe/H],K2 V,0.66,4.52,1
73.1009,HD 168746,5610.0,[Fe/H],G5,0.88,4.5,1
75.323,HATS-5,5304.0,[Fe/H],G,0.94,4.53,1
77.55052,HD 332231,6089.0,[Fe/H],F8,1.13,4.28,2
79.45,Kepler-425,5170.0,[Fe/H],K1 V,0.93,4.54,1
82.632,WASP-69,4715.0,[Fe/H],K5,0.83,4.54,1
85.81,CoRoT-25,6040.0,[Fe/H],F9,1.09,4.31,1
85.81,HD 113538,4685.0,[Fe/H],K9 V,0.7,4.28,1
85.8141,WASP-131,6030.0,[Fe/H],G0,1.06,4.09,1
87.5585,WASP-117,6038.0,[Fe/H],F9,1.13,4.28,1
88.9924,WASP-126,5800.0,[Fe/H],G2,1.12,4.28,1
92.17,Kepler-427,5800.0,[Fe/H],G2 V,0.96,4.14,1
92.1707,HD 88133,5494.0,[Fe/H],G5 IV,1.2,4.23,1
92.48853,WASP-148,5460.0,[Fe/H],G,1.0,4.4,1
92.802,HAT-P-19,4990.0,[Fe/H],K1,0.84,4.54,1
95.03117,WASP-181,5839.0,[Fe/H],G2,1.04,4.49,1
95.349,WASP-83,5510.0,[Fe/H],G8,1.11,4.44,1
96.4,TOI-1268,5300.0,[Fe/H],K1-K2,0.96,4.55,2
98.5273,WASP-151,5871.0,[Fe/H],G1,1.08,4.35,1
101.38777,HATS-6,3724.0,[Fe/H],M1 V,0.57,4.68,1
104.0,BD-08 2823,4746.0,[Fe/H],K3 V,0.74,4.13,1
104.3,HD 215497,5113.0,[Fe/H],K3 V,0.87,4.31,1
104.88,HD 564,5902.0,[Fe/H],G2/G3 V,0.96,4.53,1
104.88337,TYC 2187-512-1,3734.0,[Fe/H],M1.0 V,0.5,4.68,1
106.47305,K2-295,4444.0,[Fe/H],K5 V,0.74,4.63,1
107.6,HD 164922,5293.0,[Fe/H],G9 V,0.87,4.39,1
108.0,HD 191939,5348.0,[Fe/H],G9 V,0.81,4.3,1
108.06,Kepler-426,5725.0,[Fe/H],G1 V,0.91,4.47,1
108.06,NGC 2682 YBP 1194,5780.0,[Fe/H],G5 V,1.01,4.44,1
108.0622,HD 219134,4913.0,[Fe/H],K3 V,0.79,4.51,1
109.33352,NGTS-11,5050.0,[Fe/H],K,0.86,4.5,2
114.41,HD 113538,4462.0,[Fe/H],K9 V,0.58,3.79,1
114.41,HD 11506,6055.0,[Fe/H],G0 V,1.24,4.3,1
114.8,HD 149026,6147.0,[Fe/H],G0 IV,1.3,4.26,1
117.27868,TOI-2202,5144.0,[Fe/H],K8 V,0.82,4.55,1
117.59,HD 181720,5781.0,[Fe/H],G1 V,0.92,4.24,1
117.59,HD 93083,4995.0,[Fe/H],K3 V,0.7,4.26,1
117.5971,HATS-71,3405.0,[Fe/H],M3 V,0.49,4.77,1
117.91493,Qatar-8,5738.0,[Fe/H],G0 V,1.03,4.21,1
120.0,HD 63454,4841.0,[Fe/H],K4 V,0.8,4.23,1
120.6,HD 34445,5836.0,[Fe/H],G0 V,1.07,4.21,1
123.00021,K2-139,5340.0,[Fe/H],K0 V,0.92,4.5,1
123.9537,WASP-153,5914.0,[Fe/H],G0,1.34,4.1,1
127.13,NGC 2682 YBP 1514,5725.0,[Fe/H],G5 V,0.96,4.57,1
127.13136,TOI-530,3659.0,[Fe/H],M0.5 V,0.53,4.7,2
127.132,WASP-148,5460.0,[Fe/H],G,1.0,4.4,1
129.99182,NGTS-18,5610.0,[Fe/H],G5 V,1.0,4.16,1
130.0,HIP 57274,4640.0,[Fe/H],K4 V,0.73,4.71,1
130.3103,WASP-132,4775.0,[Fe/H],K4,0.8,4.61,1
133.4886,TOI-201,6394.0,[Fe/H],F6 V,1.32,4.32,2
135.39558,K2-60,5500.0,[Fe/H],G4 V,0.97,4.07,1
136.03124,HIP 65407,5460.0,[Fe/H],K0,0.93,4.47,1
136.661,KELT-6,6102.0,[Fe/H],F8,1.08,4.07,1
136.661,Kepler-77,5520.0,[M/H],G5 V,0.95,4.42,1
143.02,HD 102195,5291.0,[Fe/H],K0 V,0.87,4.45,1
143.02278,HD 10975,4840.0,[Fe/H],K0 III,1.41,2.48,1
143.0235,HD 86226,5863.0,[Fe/H],G1 V,1.02,4.4,1
143.34133,HD 141399,5600.0,[Fe/H],K0,1.07,4.28,1
143.97699,WASP-17,6650.0,[Fe/H],F4,1.2,4.45,1
146.2,WASP-52,5000.0,[Fe/H],K2 V,0.87,4.58,1
148.42,CoRoT-5,6100.0,[M/H],F9 V,1.0,4.19,1
149.37,HD 30669,5400.0,[Fe/H],G9 V,0.92,4.37,1
150.0,HD 45652,5312.0,[Fe/H],G8-K0,0.83,4.32,1
150.96925,WASP-113,5890.0,[Fe/H],G1,1.32,4.2,1
152.55,BD-10 3166,5400.0,[Fe/H],K0 V,1.1,4.4,1
152.55,HD 114613,5729.0,[Fe/H],G4 IV,1.36,3.97,1
152.55,WASP-96,5540.0,[Fe/H],G8,1.06,4.42,1
153.82972,CoRoT-28,5150.0,[Fe/H],G8/9 IV,1.01,3.6,1
155.10104,HD 102195,5330.0,[Fe/H],G8 V,0.93,4.37,1
158.91,WASP-101,6400.0,[Fe/H],F6,1.34,4.34,1
158.915,K2-137,3492.0,[Fe/H],M3 V,0.46,4.82,1
158.915,Kepler-1654,5597.0,[Fe/H],G5 V,1.01,4.3,1
159.55066,WASP-183,5313.0,[Fe/H],G9,0.78,4.45,1
160.497,Kepler-45,3820.0,[Fe/H],M,0.59,4.7,1
161.45764,WASP-177,5017.0,[Fe/H],K2,0.88,4.49,1
162.09249,ups Leo,4836.0,[Fe/H],G9 III,1.48,2.46,1
163.358,WASP-60,5900.0,[Fe/H],G1 V,1.08,4.35,1
163.36462,WASP-118,6410.0,[Fe/H],F6,1.32,4.1,1
165.26,CoRoT-26,5590.0,[Fe/H],G5,1.09,3.99,1
167.4,HIP 57274,4640.0,[Fe/H],K4 V,0.73,4.71,1
167.49641,HAT-P-65,5835.0,[Fe/H],G2,1.21,3.98,1
168.44,BD-11 4672,4475.0,[Fe/H],K7 V,0.57,4.1,1
168.4499,HATS-27,6438.0,[Fe/H],F,1.42,4.11,1
